groesse_cm,gewicht_kg,schuhgroesse,geschlecht,geschlecht_label
172,76.4,39,1,weiblich
199,101.5,47,0,männlich
167,76.3,40,1,weiblich
166,61.3,39,1,weiblich
180,95.2,44,0,männlich
180,75.6,42,0,männlich
178,74.5,41,0,männlich
153,63.4,36,1,weiblich
177,81.7,41,0,männlich
170,69.3,40,1,weiblich
189,96.1,44,0,männlich
184,105.3,41,0,männlich
165,59.4,38,1,weiblich
189,88.4,43,0,männlich
176,71.9,38,1,weiblich
164,56.1,37,1,weiblich
184,92.9,45,0,männlich
185,97.9,46,0,männlich
168,81.6,39,1,weiblich
161,61.9,36,1,weiblich
167,73.7,39,1,weiblich
173,64.7,39,1,weiblich
176,78.9,41,0,männlich
166,74.4,39,1,weiblich
162,67.2,36,1,weiblich
163,81.2,38,1,weiblich
183,76.3,46,0,männlich
176,72.7,39,1,weiblich
167,62.1,39,1,weiblich
178,77.7,39,1,weiblich
181,76.4,44,0,männlich
171,73.8,43,0,männlich
188,92.9,42,0,männlich
184,75.5,44,0,männlich
170,69.2,43,0,männlich
166,73.4,38,1,weiblich
175,84.5,42,1,weiblich
168,54.4,37,1,weiblich
181,81.8,45,0,männlich
174,59.7,39,0,männlich
189,90.2,45,0,männlich
173,61.6,42,0,männlich
181,84.4,43,0,männlich
189,95.7,46,0,männlich
166,92.4,40,0,männlich
177,67.9,40,1,weiblich
165,76.8,41,1,weiblich
170,74.0,41,1,weiblich
172,64.3,39,0,männlich
171,60.7,38,1,weiblich
177,79.6,42,0,männlich
171,69.3,39,1,weiblich
176,82.8,43,0,männlich
165,70.4,37,1,weiblich
173,83.6,42,0,männlich
175,89.9,41,0,männlich
172,77.8,40,1,weiblich
163,60.3,36,1,weiblich
171,63.7,41,0,männlich
159,58.9,35,1,weiblich
179,80.3,41,0,männlich
186,89.3,43,0,männlich
188,74.5,43,0,männlich
180,82.7,43,0,männlich
158,57.8,37,1,weiblich
173,71.3,41,0,männlich
170,86.4,39,0,männlich
173,85.5,42,0,männlich
160,52.6,36,1,weiblich
166,61.9,39,1,weiblich
160,63.7,39,1,weiblich
175,62.7,40,0,männlich
175,78.9,42,0,männlich
181,71.1,40,0,männlich
164,65.5,38,1,weiblich
161,61.3,40,1,weiblich
183,94.4,45,0,männlich
160,63.8,38,1,weiblich
174,78.1,41,0,männlich
171,77.2,40,1,weiblich
188,93.7,45,0,männlich
181,81.8,42,0,männlich
175,74.7,41,1,weiblich
179,91.7,42,0,männlich
175,73.5,40,0,männlich
179,86.7,43,0,männlich
164,69.5,37,1,weiblich
169,68.1,37,1,weiblich
181,101.5,45,0,männlich
175,70.2,40,0,männlich
164,70.3,38,1,weiblich
169,65.0,39,1,weiblich
167,53.3,36,1,weiblich
190,98.3,42,0,männlich
170,75.6,40,1,weiblich
161,60.0,39,1,weiblich
177,64.7,42,0,männlich
180,84.4,46,0,männlich
164,78.8,42,1,weiblich
173,78.5,44,0,männlich
167,66.6,38,1,weiblich
167,65.6,39,1,weiblich
169,65.6,39,1,weiblich
178,93.3,42,0,männlich
187,98.9,45,0,männlich
164,81.5,37,1,weiblich
180,83.3,42,0,männlich
189,74.4,45,0,männlich
173,73.1,40,1,weiblich
182,92.7,44,0,männlich
162,58.8,37,1,weiblich
173,79.0,43,0,männlich
189,78.4,43,0,männlich
186,79.6,45,0,männlich
170,75.5,41,0,männlich
171,76.9,39,1,weiblich
174,82.3,42,0,männlich
195,95.2,45,0,männlich
185,99.1,42,0,männlich
175,79.3,41,0,männlich
178,93.4,43,0,männlich
186,83.0,43,0,männlich
179,73.5,42,0,männlich
163,62.4,38,1,weiblich
167,62.3,38,1,weiblich
173,76.0,40,1,weiblich
164,61.6,39,1,weiblich
162,56.6,39,1,weiblich
177,84.0,41,0,männlich
163,46.5,37,1,weiblich
166,76.8,40,0,männlich
166,62.6,39,1,weiblich
182,88.1,45,0,männlich
180,98.8,47,0,männlich
168,72.2,39,1,weiblich
166,63.8,39,1,weiblich
177,79.5,44,0,männlich
179,91.1,44,0,männlich
183,83.8,44,0,männlich
169,68.1,39,0,männlich
168,75.9,41,1,weiblich
165,67.2,38,1,weiblich
186,89.4,45,0,männlich
174,78.0,40,1,weiblich
162,62.4,37,1,weiblich
178,79.9,43,0,männlich
192,96.7,46,0,männlich
165,49.1,37,1,weiblich
179,98.2,42,0,männlich
168,66.0,37,1,weiblich
184,78.9,43,0,männlich
179,89.1,43,0,männlich
153,59.1,38,1,weiblich
162,68.3,38,1,weiblich
187,83.0,43,0,männlich
177,93.6,44,0,männlich
168,63.1,38,1,weiblich
154,50.1,36,1,weiblich
163,69.1,37,1,weiblich
174,74.9,46,0,männlich
162,55.6,38,1,weiblich
165,66.6,38,1,weiblich
180,77.6,41,1,weiblich
185,83.8,46,0,männlich
162,80.3,38,1,weiblich
166,70.8,38,1,weiblich
173,82.9,42,0,männlich
183,87.0,44,0,männlich
167,77.5,40,1,weiblich
182,86.9,42,0,männlich
164,66.4,36,1,weiblich
185,85.2,46,0,männlich
171,68.1,39,1,weiblich
185,94.2,44,0,männlich
185,90.4,43,0,männlich
169,65.6,38,1,weiblich
190,90.1,43,0,männlich
186,89.7,44,0,männlich
165,60.5,39,1,weiblich
173,76.5,39,1,weiblich
171,69.3,42,1,weiblich
160,56.1,36,1,weiblich
166,52.0,38,1,weiblich
156,61.1,37,1,weiblich
162,75.7,38,1,weiblich
176,79.9,43,0,männlich
161,59.7,38,0,männlich
180,77.6,40,1,weiblich
186,96.9,46,0,männlich
164,59.7,37,1,weiblich
189,80.3,45,0,männlich
180,78.6,42,1,weiblich
165,65.6,38,0,männlich
191,102.8,45,0,männlich
156,75.0,37,1,weiblich
184,108.0,45,0,männlich
161,62.4,38,1,weiblich
161,66.2,36,1,weiblich
166,53.0,37,1,weiblich
180,88.5,44,0,männlich
181,80.3,44,0,männlich
169,67.6,39,1,weiblich
179,91.5,43,0,männlich
165,65.8,38,1,weiblich
188,89.4,45,0,männlich
